,american_name,country,lat,long,conf_count,date,cured_count,dead_count,country_2
244,Taiwan,Taiwan,23.7,121.0,3,2020-01-24,0,0,Taiwan
245,"Seattle, WA",United States of America,47.6062,-122.3321,1,2020-01-24,0,0,United States of America
246,"Chicago, IL",United States of America,41.8781,-87.6298,1,2020-01-24,0,0,United States of America
247,"Tempe, AZ",United States of America,33.4255,-111.94,0,2020-01-24,0,0,United States of America
248,Macau,Macau,22.1667,113.55,2,2020-01-24,0,0,Macau
249,Hong Kong,Hong Kong,22.3,114.2,2,2020-01-24,0,0,Hong Kong
250,Singapore,Singapore,1.2833,103.8333,3,2020-01-24,0,0,Singapore
251,Vietnam,Vietnam,16.0,108.0,2,2020-01-24,0,0,Vietnam
252,France,France,47.0,2.0,2,2020-01-24,0,0,France
253,Nepal,Nepal,28.1667,84.25,0,2020-01-24,0,0,Nepal
254,Malaysia,Malaysia,2.5,112.5,0,2020-01-24,0,0,Malaysia
255,"Toronto, ON",Canada,43.6532,-79.3832,0,2020-01-24,0,0,Canada
256,British Columbia,Canada,49.2827,-123.1207,0,2020-01-24,0,0,Canada
257,"Orange, CA",United States of America,33.7879,-117.8531,0,2020-01-24,0,0,United States of America
258,"Los Angeles, CA",United States of America,34.0522,-118.2437,0,2020-01-24,0,0,United States of America
259,New South Wales,Australia,-33.8688,151.2093,0,2020-01-24,0,0,Australia
260,Victoria,Australia,-37.8136,144.9631,0,2020-01-24,0,0,Australia
261,Queensland,Australia,-28.0167,153.4,0,2020-01-24,0,0,Australia
262,Cambodia,Cambodia,11.55,104.9167,0,2020-01-24,0,0,Cambodia
263,Sri Lanka,Sri Lanka,7.0,81.0,0,2020-01-24,0,0,Sri Lanka
264,Germany,Germany,51.0,9.0,0,2020-01-24,0,0,Germany
265,Finland,Finland,64.0,26.0,0,2020-01-24,0,0,Finland
266,United Arab Emirates,United Arab Emirates,24.0,54.0,0,2020-01-24,0,0,United Arab Emirates
267,Philippines,Philippines,13.0,122.0,0,2020-01-24,0,0,Philippines
268,India,India,21.0,78.0,0,2020-01-24,0,0,India
269,"London, ON",Canada,42.9849,-81.2453,0,2020-01-24,0,0,Canada
270,Italy,Italy,43.0,12.0,0,2020-01-24,0,0,Italy
271,UK,UK,55.0,-3.0,0,2020-01-24,0,0,UK
272,Russia,Russia,60.0,90.0,0,2020-01-24,0,0,Russia
273,Sweden,Sweden,63.0,16.0,0,2020-01-24,0,0,Sweden
274,"Santa Clara, CA",United States of America,37.3541,-121.9552,0,2020-01-24,0,0,United States of America
275,Spain,Spain,40.0,-4.0,0,2020-01-24,0,0,Spain
276,South Australia,Australia,-34.9285,138.6007,0,2020-01-24,0,0,Australia
277,"Boston, MA",United States of America,42.3601,-71.0589,0,2020-01-24,0,0,United States of America
278,"San Benito, CA",United States of America,36.5761,-120.9876,0,2020-01-24,0,0,United States of America
279,Belgium,Belgium,50.8333,4.0,0,2020-01-24,0,0,Belgium
280,"Madison, WI",United States of America,43.0731,-89.4012,0,2020-01-24,0,0,United States of America
281,Diamond Princess cruise ship,Others,35.4437,139.638,0,2020-01-24,0,0,Others
282,"San Diego County, CA",United States of America,32.7157,-117.1611,0,2020-01-24,0,0,United States of America
283,"San Antonio, TX",United States of America,29.4241,-98.4936,0,2020-01-24,0,0,United States of America
284,Egypt,Egypt,26.0,30.0,0,2020-01-24,0,0,Egypt
285,Iran,Iran,32.0,53.0,0,2020-01-24,0,0,Iran
286,"Omaha, NE (From Diamond Princess)",United States of America,41.2545,-95.9758,0,2020-01-24,0,0,United States of America
287,"Travis, CA (From Diamond Princess)",United States of America,38.2721,-121.9399,0,2020-01-24,0,0,United States of America
288,From Diamond Princess,Australia,35.4437,139.638,0,2020-01-24,0,0,Australia
